,Category,Hpapun,Kawkareik,Taungoo
Better Rice (1 kg),Essential Food Items,"1,400","1,350","1,400"
Cheaper Rice (1 kg),Essential Food Items,600,600,600
Palm Oil (1 liter),Essential Food Items,"3,000","3,500","4,500"
Pulse (1 viss),Essential Food Items,"2,800","3,300","3,500"
Garlic (1 viss),Vegetables,"3,500","3,500","4,500"
Onion (1 viss),Vegetables,800,"1,000",900
Eggplant (1 viss),Vegetables,"1,300","1,000",800
Long Bean (1 viss),Vegetables,"3,000","2,500","1,100"
Watercress (1 viss),Vegetables,"2,000","1,200",800
Green Chili (1 viss),Vegetables,"1,800","1,500","7,000"
Bananas,Vegetables,"1,500","1,500","1,000"
Toothpaste (140g),Hygiene,"1,000",500,"1,000"
Detergent (400g),Hygiene,"1,500",800,"1,000"
Soap (60g),Hygiene,500,400,600
Sanitary Pad (10 pc),Hygiene,"1,000","1,000",900
Shrimp (1 viss),Meat / Fish,"8,000","12,000","7,500"
Fresh Fish (1 viss),Meat / Fish,"5,000","4,500","8,000"
Dried Fish (1 viss),Meat / Fish,"12,000","9,000","12,000"
Ar Bae Kyauk (1 viss),Meat / Fish,"13,000","12,000","14,000"
Chicken (1 viss),Meat / Fish,"8,000","7,500","6,000"
Fish Paste (1 viss),Meat / Fish,"3,500","5,000","2,500"
Pork (1 viss),Meat / Fish,"8,000","10,000","10,000"
Charcoal (1 viss),NFIs,435,500,600
Cooking Pot (4 cans),NFIs,"6,000","7,500","8,000"
Blanket,NFIs,"5,500","6,000","5,100"
Mosquito Net,NFIs,"13,000","9,500","10,000"
Plastic Tarpaulin,NFIs,"20,000","16,000","12,000"
Men's Longyi,NFIs,"6,000","5,500","5,000"
Women's Longyi,NFIs,"6,000","5,000","5,000"
Umbrella,NFIs,"3,500","3,500","4,800"
Towel,NFIs,"4,500","3,000","1,200"
Vacuum Flask,NFIs,"16,000","12,000","9,000"
Jerry Can,NFIs,"6,000","7,000","6,000"
